evolution$generation;evolution$evaluated;evolution$samples;maxProbaToSwitch;constraintsStrength;inertiaCoefficient;healthyDietReward;objective$deltaHealth;objective$deltaSocialInequality;%Healthy_vs._2002;%Healthy_vs._2008;socialIneq_vs._2002;typo;typo_name;socialInequality;deltaSocialInequality;opinionMedian;numberOfHealthy;deltaHealth
376800;376800;25;0,905;0,148;0,840;0,020;304,514,541;0,340;up;down;up;up_down_up;smallIncrease%Healthy;[1.5497740037256216,1.5554377750491148,1.5601377317175222,1.555271311528706,1.54926360212691,1.554678477146655,1.557335376940622,1.55052403090599,1.5564576853228866,1.562635396436839,1.560750956277883,1.554146927311116,1.5595642391857412,1.5506846124516669,1.5513464708241576,1.558866181065574,1.5571490627951696,1.5511456587980017,1.5616500887161293,1.5528442685548314,1.549772918596139,1.5536420259221422,1.557685067771656,1.5479590801513115,1.5506493018205767];[0.34497333777437844,0.33930956645088517,0.3346096097824778,0.339476029971294,0.34548373937309007,0.34006886435334494,0.33741196455937805,0.34422331059401,0.3382896561771134,0.3321119450631611,0.33399638522211705,0.3406004141888841,0.33518310231425885,0.3440627290483331,0.34340087067584246,0.33588116043442606,0.3375982787048304,0.3436016827019983,0.3330972527838707,0.34190307294516864,0.34497442290386093,0.34110531557785784,0.33706227372834396,0.34678826134868856,0.3440980396794233];[0.47425931692123413,0.4741479158401489,0.47424355149269104,0.47440105676651,0.47436389327049255,0.474267840385437,0.4742734432220459,0.47431764006614685,0.4743465483188629,0.4743363857269287,0.4742947220802307,0.47431516647338867,0.47430863976478577,0.4742080569267273,0.47427988052368164,0.47424784302711487,0.47432249784469604,0.4742431044578552,0.47442349791526794,0.47432640194892883,0.47427988052368164,0.474296897649765,0.474371075630188,0.47418344020843506,0.4742664694786072];[934593,933886,932869,933442,935931,933343,935644,934541,935027,934744,933245,935254,933670,932626,932974,934601,935075,934306,934290,934158,933806,933139,936519,933909,932102];[304514.5408605286,305179.5408605286,304230.5408605286,303209.5408605286,305118.5408605286,302424.5408605286,305169.5408605286,303260.5408605286,305386.5408605286,304259.5408605286,305210.5408605286,303093.5408605286,303963.5408605286,303947.5408605286,305677.5408605286,305406.5408605286,306246.5408605286,302755.5408605286,304825.5408605286,304839.5408605286,303527.5408605286,303698.5408605286,304720.5408605286,304266.5408605286,305413.5408605286]
376800;376800;16;0,871;0,145;0,916;0,009;317,620,541;0,293;up;down;up;up_down_up;smallIncrease%Healthy;[1.6065555035590042,1.6034396448250758,1.595456531604625,1.5979517869477622,1.6027158067076954,1.5992262221695441,1.6008400675215144,1.6026836967879907,1.6050602304918962,1.599678446693737,1.5981772865809056,1.6017853132776152,1.5938859793998719,1.6034687056345256,1.600593966226516,1.604302258760488];[0.2881918379409958,0.2913076966749242,0.29929080989537504,0.29679555455223783,0.2920315347923046,0.2955211193304559,0.2939072739784856,0.2920636447120093,0.28968711100810385,0.29506889480626297,0.2965700549190944,0.2929620282223848,0.30086136210012815,0.2912786358654744,0.29415337527348395,0.290445082739512];[0.47142094373703003,0.47137027978897095,0.47144579887390137,0.4713587760925293,0.4713464379310608,0.4712500274181366,0.4713270366191864,0.4713056981563568,0.4712991416454315,0.47131794691085815,0.47137072682380676,0.47139063477516174,0.4713701605796814,0.4714254140853882,0.4713786840438843,0.4714926481246948];[934363,932780,934859,932700,933027,931542,933451,933227,933605,931855,933244,933959,932998,933499,933881,935990];[317352.5408605286,317781.5408605286,320196.5408605286,316029.5408605286,315594.5408605286,317929.5408605286,317238.5408605286,318108.5408605286,317176.5408605286,316322.5408605286,317733.5408605286,319078.5408605286,316957.5408605286,318032.5408605286,318554.5408605286,317507.5408605286]
376800;376800;1;0,905;0,149;0,837;0,021;304,919,541;0,331;up;down;up;up_down_up;smallIncrease%Healthy;[1.5641139220534817];[0.33063341944651836];[0.47469645738601685];[932994];[304919.5408605286]
376800;376800;3;0,905;0,149;0,837;0,021;303,640,541;0,337;up;down;up;up_down_up;smallIncrease%Healthy;[1.5596940925567147,1.5575153711225191,1.5493035537534292];[0.33505324894328536,0.33723197037748087,0.3454437877465708];[0.47479456663131714,0.4748542010784149,0.47482824325561523];[932669,936189,934215];[303640.5408605286,304456.5408605286,302962.5408605286]
376800;376800;1;0,873;0,145;0,913;0,009;317,537,541;0,288;up;down;up;up_down_up;smallIncrease%Healthy;[1.6068234449506653];[0.2879238965493347];[0.4711669087409973];[927982];[317537.5408605286]
376800;376800;1;0,857;0,143;0,929;0,007;318,407,427;0,282;up;down;up;up_down_up;smallIncrease%Healthy;[1.61240480455992];[0.28234253694008005];[0.47260206937789917];[921892];[318407.42711645295]
376800;376800;3;0,873;0,146;0,898;0,013;312,796,427;0,306;up;down;up;up_down_up;smallIncrease%Healthy;[1.58865850246021,1.586610955785807,1.593153478190307];[0.30608883903979,0.308136385714193,0.30159386330969307];[0.47197723388671875,0.47198036313056946,0.47197225689888];[921625,922085,921552];[313186.42711645295,312796.42711645295,312591.5408605286]
376800;376800;25;0,855;0,136;0,933;0,006;320,884,427;0,283;up;down;up;up_down_up;smallIncrease%Healthy;[1.6172798980293426,1.6119368537528016,1.6045218909184915,1.6135727911641726,1.6042810254056645,1.6072435748149532,1.6099932520264373,1.6143125730098542,1.6120156545589412,1.612402300174832,1.6184844712973474,1.6126109458999272,1.608804647170142,1.617913746546523,1.6093510684126517,1.6121441331913182,1.6142511625942708,1.6026117488782774,1.616098034257402,1.613246388969691,1.6059637224008105,1.6099881449076276,1.6207428881973658,1.6137879201171443,1.6120363347875013];[0.27746744347065744,0.2828104877471984,0.2902254505815085,0.2811745503358274,0.2904663160943355,0.28750376668504685,0.28475408947356273,0.2804347684901458,0.28273168694105877,0.282345041325168,0.2762628702026526,0.28213639560007286,0.28594269432985797,0.27683359495347704,0.2853962730873483,0.2826032083086818,0.2804961789057292,0.2921355926217226,0.27864930724259795,0.28150095253030893,0.2887836190991895,0.28475919659237237,0.27400445330263423,0.2809594213828557,0.2827110067124987];[0.47278469800949097,0.47297921776771545,0.4729684889316559,0.4729521572589874,0.47289878129959106,0.47291019558906555,0.4729284644126892,0.4729464650154114,0.47297248244285583,0.47283145785331726,0.47293999791145325,0.47290223836898804,0.4729418158531189,0.4729338586330414,0.47289568185806274,0.4729313552379608,0.4728834331035614,0.47294655442237854,0.4730081856250763,0.47294551134109497,0.4729454815387726,0.4729055166244507,0.4729759693145752,0.47292622923851013,0.47295716404914856];[921421,921774,922281,922822,919610,921683,921327,921295,922916,919778,922148,919970,923051,920904,920854,921724,922089,923241,923209,921654,923684,921184,922656,921603,921254];[320968.42711645295,320355.5408605286,321508.42711645295,320291.5408605286,321611.42711645295,320884.42711645295,321792.42711645295,321296.42711645295,319593.5408605286,320575.42711645295,318333.42711645295,320263.42711645295,322816.42711645295,320373.42711645295,322553.42711645295,321573.42711645295,321836.5408605286,321644.5408605286,320420.42711645295,320633.42711645295,322865.5408605286,319487.42711645295,321255.42711645295,320144.42711645295,319627.42711645295]
376800;376800;2;0,855;0,146;0,931;0,007;319,276,427;0,286;up;down;up;up_down_up;smallIncrease%Healthy;[1.6160430807587198,1.6010497141959468];[0.2787042607412802,0.29369762730405324];[0.4727735221385956,0.47274303436279297];[920741,918683];[318892.42711645295,319660.42711645295]
376800;376800;25;0,872;0,146;0,899;0,013;313,842,427;0,308;up;down;up;up_down_up;smallIncrease%Healthy;[1.585399787239749,1.587307087009082,1.5920659171696447,1.586743406081156,1.589613064581844,1.5971237495285096,1.592719845738424,1.590256254041108,1.5925736538512467,1.5795281814031605,1.5843746291236693,1.5832328326637655,1.5897790734226134,1.585029444910372,1.5826546116277755,1.5881579017871168,1.5883964085712785,1.5845060555502701,1.590340400551553,1.580650799671398,1.5787876590139633,1.582866936509146,1.5856260734077565,1.5906221698148835,1.5853028598878676];[0.30934755426025107,0.30744025449091805,0.3026814243303553,0.30800393541884397,0.305134276918156,0.29762359197149046,0.30202749576157606,0.304491087458892,0.3021736876487533,0.3152191600968395,0.3103727123763307,0.31151450883623455,0.30496826807738664,0.3097178965896281,0.3120927298722245,0.3065894397128832,0.3063509329287215,0.3102412859497299,0.3044069409484471,0.3140965418286019,0.3159596824860367,0.3118804049908541,0.3091212680922435,0.30412517168511655,0.30944448161213245];[0.47208836674690247,0.472072958946228,0.4719773530960083,0.47206205129623413,0.4720892012119293,0.4719580113887787,0.471952885389328,0.47201380133628845,0.4718569815158844,0.47201964259147644,0.47198423743247986,0.4720194637775421,0.4719979166984558,0.47204670310020447,0.4721781611442566,0.4719611406326294,0.4720945358276367,0.4721357226371765,0.4719570279121399,0.4719606041908264,0.47208449244499207,0.4719340205192566,0.47206708788871765,0.47199007868766785,0.47203344106674194];[920509,920450,919688,920741,920792,919549,920219,920550,919103,921134,920715,920571,919994,921145,921142,919011,919984,921285,919258,919978,919147,919322,920058,919829,919468];[313248.42711645295,314091.5408605286,312639.42711645295,314262.42711645295,313269.5408605286,313842.42711645295,313778.42711645295,313541.5408605286,316108.42711645295,315665.42711645295,314260.42711645295,313702.5408605286,313161.42711645295,313192.42711645295,313163.42711645295,313810.42711645295,313189.42711645295,315008.42711645295,314767.42711645295,314913.42711645295,314520.5408605286,314691.42711645295,314783.42711645295,314482.42711645295,313717.42711645295]
376800;376800;7;0,869;0,146;0,896;0,015;313,404,427;0,309;up;down;up;up_down_up;smallIncrease%Healthy;[1.593875259822368,1.5784907047955083,1.5850771268008046,1.5867642007724363,1.5856481807196272,1.5835173492648322,1.5904588901890684];[0.300872081677632,0.31625663670449167,0.3096702146991954,0.3079831407275637,0.3090991607803728,0.3112299922351678,0.30428845131093163];[0.472708523273468,0.4727367162704468,0.4728098213672638,0.4727881848812103,0.4727634787559509,0.4728502631187439,0.4728062152862549];[918977,916255,918375,917948,917656,917205,917222];[311946.42711645295,313404.42711645295,314200.42711645295,312599.42711645295,313611.42711645295,313266.42711645295,313559.42711645295]
